38,Beastmaster,4,201238,1293.0,Semi-Carry,8,13,42,9,2012,September
31,Lich,3,201238,434.0,Support,4,20,6,9,2012,September
85,Undying,2,201238,449.0,Semi-Carry,4,12,6,9,2012,September
60,Night Stalker,2,201238,671.0,Semi-Carry,17,12,12,9,2012,September
62,Bounty Hunter,2,201238,374.0,\N,6,17,1,9,2012,September
68,Ancient Apparition,2,201238,332.0,Support,2,18,14,9,2012,September
91,Wisp,2,201238,705.0,Support,10,2,33,9,2012,September
79,Shadow Demon,2,201238,431.0,Support,2,11,15,9,2012,September
7,Earthshaker,1,201238,158.0,Support,1,8,5,9,2012,September
25,Lina,1,201238,195.0,Support,3,9,9,9,2012,September
28,Slardar,1,201238,364.0,Carry,4,4,11,9,2012,September
70,Ursa,1,201238,229.0,Carry,1,6,3,9,2012,September
5,Crystal Maiden,1,201238,123.0,Support,0,4,5,9,2012,September
77,Lycan,1,201238,279.0,Carry,0,2,0,9,2012,September
49,Dragon Knight,1,201238,313.0,Carry,3,6,6,9,2012,September
61,Broodmother,1,201238,430.0,Carry,2,6,1,9,2012,September
43,Death Prophet,1,201238,233.0,Semi-Carry,1,8,2,9,2012,September
20,Vengeful Spirit,1,201238,163.0,Support,3,9,9,9,2012,September
59,Huskar,1,201238,323.0,Carry,2,4,2,9,2012,September
55,Dark Seer,1,201238,347.0,Semi-Carry,1,7,11,9,2012,September
48,Luna,1,201238,462.0,Carry,6,6,6,9,2012,September
41,Faceless Void,1,201238,623.0,Carry,16,1,17,9,2012,September
19,Tiny,1,201238,599.0,Carry,10,0,10,9,2012,September
65,Batrider,1,201238,311.0,Semi-Carry,6,6,21,9,2012,September
44,Phantom Assassin,1,201238,339.0,Carry,2,5,5,9,2012,September
8,Juggernaut,1,201238,517.0,Carry,17,2,8,9,2012,September
26,Lion,1,201238,271.0,Support,3,4,10,9,2012,September
32,Riki,1,201238,631.0,Carry,14,0,8,9,2012,September
29,Tidehunter,33,201239,9119.0,Support,93,144,404,9,2012,September
52,Leshrac,28,201239,8719.0,Support,114,132,232,9,2012,September
86,Rubick,26,201239,7204.0,Semi-Carry,102,137,278,9,2012,September
33,Enigma,26,201239,8096.0,Jungler,52,134,185,9,2012,September
66,Chen,25,201239,7454.0,Jungler,70,83,204,9,2012,September
40,Venomancer,23,201239,5650.0,Support,71,135,307,9,2012,September
10,Morphling,20,201239,10553.0,Carry,167,29,113,9,2012,September
89,Naga Siren,19,201239,8540.0,Carry,89,71,160,9,2012,September
46,Templar Assassin,18,201239,8062.0,Carry,169,76,157,9,2012,September
53,Furion,17,201239,6111.0,Carry,46,107,118,9,2012,September
74,Invoker,15,201239,4706.0,Carry,61,63,133,9,2012,September
27,Shadow Shaman,15,201239,3932.0,Support,42,84,142,9,2012,September
21,Windrunner,14,201239,4758.0,Support,58,53,104,9,2012,September
81,Chaos Knight,13,201239,5151.0,Carry,67,39,104,9,2012,September
55,Dark Seer,13,201239,4303.0,Semi-Carry,37,44,104,9,2012,September
62,Bounty Hunter,12,201239,4567.0,Carry,65,60,72,9,2012,September
91,Wisp,12,201239,3376.0,Support,52,55,178,9,2012,September
38,Beastmaster,10,201239,2556.0,Semi-Carry,18,59,91,9,2012,September
87,Disruptor,10,201239,1880.0,Support,19,51,84,9,2012,September
1,Anti-Mage,10,201239,4884.0,Carry,66,38,54,9,2012,September
49,Dragon Knight,10,201239,4232.0,Carry,47,28,59,9,2012,September
39,Queen of Pain,10,201239,4156.0,Carry,74,37,93,9,2012,September
80,Lone Druid,9,201239,3484.0,Carry,28,26,60,9,2012,September
78,Brewmaster,9,201239,2598.0,Carry,30,35,70,9,2012,September
79,Shadow Demon,8,201239,1337.0,Support,14,58,53,9,2012,September
8,Juggernaut,8,201239,4077.0,Carry,75,22,64,9,2012,September
16,Sand King,6,201239,1532.0,Support,11,31,57,9,2012,September
17,Storm Spirit,6,201239,1885.0,Carry,28,39,39,9,2012,September
77,Lycan,6,201239,2878.0,Carry,22,17,25,9,2012,September
58,Enchantress,6,201239,1989.0,Jungler,25,15,57,9,2012,September
60,Night Stalker,5,201239,1929.0,Semi-Carry,37,20,51,9,2012,September
41,Faceless Void,5,201239,2724.0,Carry,55,17,46,9,2012,September
5,Crystal Maiden,5,201239,823.0,Support,9,32,30,9,2012,September
19,Tiny,5,201239,2345.0,Carry,38,12,28,9,2012,September
25,Lina,4,201239,1028.0,Support,22,21,23,9,2012,September
68,Ancient Apparition,4,201239,931.0,Support,16,16,36,9,2012,September
61,Broodmother,4,201239,1560.0,Carry,9,14,26,9,2012,September
11,Shadow Fiend,3,201239,1747.0,Carry,25,10,15,9,2012,September
90,Keeper of the Light,3,201239,786.0,Support,12,20,29,9,2012,September
